"","OBJECTID","PA_area"
"1",2,2554279.84628845
"2",3,481738465.981785
"3",4,659134.370815452
"4",8,444207811.582267
"5",9,351683746.827615
"6",15,160258446.462343
"7",16,114932944.903954
"8",25,78495852.5224631
"9",51,233776601.509154
"10",52,27829324.6951798
"11",54,30982032.459535
"12",62,23111558.4554256
"13",63,431012579.594422
"14",64,4091670.80784893
"15",65,110144690.90827
"16",66,499512906.852186
"17",67,29988449.3837981
"18",72,34502114.1120341
"19",74,210158316.70296
"20",76,27536923.6735855
"21",77,60909082.5350756
"22",78,56998.6835432295
"23",84,326338216.615832
"24",85,35770599.9241045
"25",86,40558718.5673669
"26",87,49771036.3195196
"27",94,200820443.835878
"28",96,100049715.5975
"29",97,370963381.725236
"30",103,36876392.6941026
"31",104,269621692.677416
"32",107,283957344.148864
"33",108,136638979.202917
"34",111,116132023.689374
"35",118,208973624.785256
"36",119,156664252.376094
"37",120,30890.9755175412
"38",121,54178670.4586091
"39",127,545025461.301386
"40",128,596436502.923625
"41",129,363964066.265612
"42",130,288750504.152543
"43",134,36015364.269092
"44",135,362002593.807245
"45",136,228400387.568672
"46",137,826676.371071497
"47",138,4319713.12316618
"48",156,313984346.361941
"49",157,602728763.643545
"50",158,403182820.866855
"51",159,253987056.519807
"52",160,411035.620230734
"53",164,1369381.53153809
"54",165,18381476.3957112
"55",166,61817289.5255086
"56",167,52664909.8802609
"57",173,401414878.03452
"58",174,63718205.0184365
"59",175,38940820.4233231
"60",176,225562181.2775
"61",177,227184840.916
"62",178,228417359.550514
"63",179,230640829.5877
"64",180,234030178.268961
"65",181,69371751.1772089
"66",186,581852949.344361
"67",187,839086317.148987
"68",188,866087152.927519
"69",189,63451991.7432369
"70",190,126570723.863399
"71",191,239926182.209002
"72",192,11608914.8040717
"73",193,30858278.7148172
"74",194,234109022.519069
"75",195,57541679.953503
"76",196,171953746.825925
"77",197,69514168.1612976
"78",198,393252.064434004
"79",199,590954270.495532
"80",200,597903434.276007
"81",201,420744287.642523
"82",209,392639756.883475
"83",210,168933888.510559
"84",211,103618192.332276
"85",212,607903155.035477
"86",213,607955961.771255
"87",214,607955961.771095
"88",215,607955961.770943
"89",216,607805028.298617
"90",217,346398483.741668
"91",218,231469.811089158
"92",221,477515708.406819
"93",222,663272078.017354
"94",223,1198957507.19944
"95",224,1210465438.17968
"96",225,1216960148.41888
"97",226,563771145.335923
"98",227,159814257.190707
"99",228,534560748.545641
"100",229,144069604.644126
"101",230,58404128.0346812
"102",232,257184270.029276
"103",233,482902208.138676
"104",234,79121564.4632157
"105",235,12615251.49778
"106",236,117091740.301369
"107",237,370614891.602094
"108",248,99409609.4164759
"109",249,608480074.209892
"110",250,608480074.210045
"111",251,608480074.209892
"112",252,608480074.20974
"113",253,608480074.20974
"114",254,570360320.424015
"115",255,74784464.2131344
"116",259,25941278.5398728
"117",260,6363913.04424781
"118",261,184194745.853765
"119",262,81275822.48007
"120",263,64224711.3040981
"121",264,478126845.379208
"122",265,665124947.915271
"123",266,876198325.194773
"124",267,807981674.57435
"125",268,832140473.910149
"126",269,290775500.635019
"127",270,813013.808898917
"128",271,271455.136691336
"129",272,104031102.14865
"130",273,64009176.5059568
"131",275,21660212.5917453
"132",276,20402166.4391702
"133",277,27661838.5174128
"134",278,129706604.68948
"135",281,69758575.3527087
"136",282,73889130.6021561
"137",293,95192188.1240862
"138",294,608995008.662369
"139",295,608995008.662521
"140",296,608995008.662369
"141",297,608995008.662212
"142",298,598522666.156166
"143",299,189065343.998394
"144",304,449921402.925519
"145",305,502902261.014589
"146",306,60659042.9109392
"147",307,93165570.2533199
"148",308,5749595.80600375
"149",310,1476645.40907092
"150",311,92261085.0770156
"151",312,354618862.755498
"152",313,609500759.008282
"153",314,358970281.047733
"154",323,161108914.295666
"155",324,442453565.572779
"156",325,180745935.644787
"157",342,91466138.1622221
"158",343,609500759.007977
"159",344,609500759.008129
"160",345,609500759.007977
"161",346,609500759.007816
"162",347,279401012.373354
"163",353,532321132.154267
"164",354,611139868.801466
"165",355,609051365.046706
"166",356,568985533.593838
"167",357,202603079.223034
"168",358,126535773.65507
"169",359,127609574.925718
"170",360,74823447.0540852
"171",362,1156279.6706568
"172",363,312715342.564815
"173",364,74392240.067341
"174",373,329526202.393515
"175",374,609997319.240608
"176",387,1962253.50092377
"177",393,93062839.7727297
"178",394,609997319.240742
"179",395,609997319.24091
"180",396,609997319.240742
"181",397,610097967.777284
"182",398,338929901.094871
"183",402,3591.23210324347
"184",403,326698017.626215
"185",404,196235905.335022
"186",405,476092134.292808
"187",406,609646109.782965
"188",407,610188259.378647
"189",408,609693413.762773
"190",409,612917206.849657
"191",410,610484683.467461
"192",411,610484683.4673
"193",412,524580535.677975
"194",413,280131964.188253
"195",414,451685337.495509
"196",415,115335149.904382
"197",425,492978797.84445
"198",426,610484683.4673
"199",446,95190437.0811771
"200",447,610484683.467461
"201",448,610484683.467609
"202",449,610484683.467461
"203",450,610457131.830864
"204",451,370495274.89534
"205",455,17024587.6325238
"206",456,349436708.843286
"207",457,385798272.820212
"208",458,608397218.710839
"209",459,605463663.781077
"210",460,612671160.142632
"211",461,607157498.532064
"212",462,605139540.024824
"213",463,471856985.813754
"214",464,610563192.835783
"215",465,669284074.233524
"216",466,806902892.512646
"217",467,871611089.52927
"218",468,1128658256.79475
"219",469,906473795.566513
"220",477,3790857.37816683
"221",478,302651093.060846
"222",479,591785219.08657
"223",480,610962845.907345
"224",481,610962845.90749
"225",482,610962845.907345
"226",483,610962845.90749
"227",484,282004065.06088
"228",485,392404.942183426
"229",487,139762488.290596
"230",488,151007604.794624
"231",495,41989943.8196745
"232",502,181268.632934652
"233",503,28327.6442881152
"234",506,5072801.10024779
"235",507,337562654.414348
"236",508,610962845.907646
"237",509,610962845.90749
"238",510,610875558.730361
"239",511,155754813.183609
"240",516,48405892.9700631
"241",518,338645956.396574
"242",519,630814138.870247
"243",520,844323511.171218
"244",521,956619152.192733
"245",522,930634605.636306
"246",523,633037202.438492
"247",524,607464713.260915
"248",525,620663994.1854
"249",526,1054889380.45637
"250",527,1222863601.78735
"251",528,1081954704.98757
"252",529,857080090.189168
"253",530,420509855.358102
"254",534,498480.505907167
"255",536,239706227.617691
"256",537,107881534.360453
"257",538,61432158.3896401
"258",539,608151161.249296
"259",540,610936460.208024
"260",541,611191114.346793
"261",542,610899803.041552
"262",543,611431800.893677
"263",544,609610562.481824
"264",545,399978963.624634
"265",549,265194592.283591
"266",550,100186767.213026
"267",554,4256605.12271362
"268",556,41857893.8955771
"269",557,572866702.079934
"270",558,60220160.1438262
"271",569,50894779.3457386
"272",570,529916538.832165
"273",571,611431800.893841
"274",572,611431800.893677
"275",573,471164384.796887
"276",580,448708798.034673
"277",582,1310285.37770739
"278",583,10241075.7998868
"279",584,485223552.145617
"280",585,1036556421.8941
"281",586,1242789659.19998
"282",587,915556941.325733
"283",588,611891542.870693
"284",589,872415303.663949
"285",590,1183875760.92736
"286",591,1215681605.50207
"287",592,1105432442.90595
"288",593,591612282.089266
"289",594,44695324.2313945
"290",599,411254.932225893
"291",600,95054508.7997473
"292",601,611323935.765121
"293",602,526026415.087864
"294",603,325405671.386216
"295",604,610626864.144318
"296",605,605917477.753019
"297",606,610204687.310357
"298",607,611829179.926915
"299",608,611891542.870235
"300",609,609468210.461165
"301",610,408225407.362721
"302",614,274760408.466599
"303",615,155060843.478711
"304",617,26982628.9417806
"305",618,476186521.715979
"306",619,241693156.675486
"307",621,200559232.26261
