"","OBJECTID","dist_rod","rod","dist_hid","hid","dist_hidro_rod","hid_rod"
"1",1,99285.023015794,"rod",240190.327912654,"hid",99285.023015794,"hid_rod"
"2",2,113609.050995977,"rod",240147.151780978,"hid",113609.050995977,"hid_rod"
"3",3,119401.220086803,"rod",242688.799895527,"hid",119401.220086803,"hid_rod"
"4",4,89043.2255527151,"rod",215303.172405067,"hid",89043.2255527154,"hid_rod"
"5",5,96238.2123839863,"rod",218135.333399287,"hid",96238.2123839863,"hid_rod"
"6",6,62918.2396596162,"rod",190523.01522165,"hid",62918.2396596163,"hid_rod"
"7",7,64627.9176761032,"rod",190468.548508415,"hid",64627.9176761032,"hid_rod"
"8",8,74191.3924203932,"rod",193665.153224666,"hid",74191.3924203932,"hid_rod"
"9",9,15074.5594212876,"rod",187126.256081946,"hid",15074.5594212876,"hid_rod"
"10",10,11258.8358903788,"rod",176772.187830963,"hid",11258.8358903799,"hid_rod"
"11",11,32594.348737879,"rod",169498.085474199,"hid",32594.348737879,"hid_rod"
"12",12,38190.5097109961,"rod",165710.046920922,"hid",38190.5097109962,"hid_rod"
"13",13,40715.9165001971,"rod",165647.404111627,"hid",40715.9165001976,"hid_rod"
"14",14,39639.0367937612,"rod",180097.839646703,"hid",39639.0367937611,"hid_rod"
"15",15,16298.5053250309,"rod",165580.87904688,"hid",16298.5053250309,"hid_rod"
"16",16,1951.18047675077,"rod",153779.65823135,"hid",1951.18047675077,"hid_rod"
"17",17,9208.07340114481,"rod",145357.144379907,"hid",9208.07340114507,"hid_rod"
"18",18,13647.0303984237,"rod",140920.460098033,"hid",13647.0303984236,"hid_rod"
"19",19,19369.8076049937,"rod",140846.772492815,"hid",19369.8076049937,"hid_rod"
"20",20,39134.6188532752,"rod",145142.726878724,"hid",39134.6188532733,"hid_rod"
"21",21,46230.2539505355,"rod",153441.746370718,"hid",46230.2539505355,"hid_rod"
"22",22,69207.8392662015,"rod",28259.86051326,"hid",69207.8392662019,"hid_rod"
