"","OBJECTID","PA_area","dist_rod","dist_hid","dist_hidro_rod"
"1",2,2554279.84628845,113609.050995977,240147.151780978,113609.050995977
"2",3,481738465.981785,119401.220086803,242688.799895527,119401.220086803
"3",4,659134.370815452,89043.2255527151,215303.172405067,89043.2255527154
"4",8,444207811.582267,74191.3924203932,193665.153224666,74191.3924203932
"5",9,351683746.827615,15074.5594212876,187126.256081946,15074.5594212876
"6",15,160258446.462343,16298.5053250309,165580.87904688,16298.5053250309
"7",16,114932944.903954,1951.18047675077,153779.65823135,1951.18047675077
"8",25,78495852.5224631,326581.182761962,411607.234078255,326581.182761962
"9",51,233776601.509154,78017.2906588332,164172.664825999,78017.290658831
"10",52,27829324.6951798,53883.1897207568,144751.176100083,53883.1897207568
"11",54,30982032.459535,6159.81384320372,110278.699420907,6159.81384320372
"12",62,23111558.4554256,20117.4303640146,20386.5351172978,20117.4303640146
"13",63,431012579.594422,44830.7281494547,36919.6746681866,44830.7281494558
"14",64,4091670.80784893,69623.6480753749,59009.3764008564,69623.6480753763
"15",65,110144690.90827,284407.189373715,390074.907608488,284407.189373715
"16",66,499512906.852186,270996.759015455,367648.073584221,270996.759015455
"17",67,29988449.3837981,259276.40881914,345448.869543538,259276.40881914
"18",72,34502114.1120341,181020.205410429,232461.409778325,181020.205410431
"19",74,210158316.70296,131742.078752218,189580.239390636,131742.078752218
"20",76,27536923.6735855,82156.8475092122,148149.642363953,82156.8475092093
"21",77,60909082.5350756,57616.5727007897,128926.428823699,57616.5727007897
"22",78,56998.6835432295,33477.2785979502,109756.25518779,33477.2785979495
"23",84,326338216.615832,7148.58100018147,90392.9569854012,7148.58100018164
"24",85,35770599.9241045,5629.8608089361,22955.3766886191,5629.8608089354
"25",86,40558718.5673669,18560.8989198221,35571.1108579535,18560.8989198217
"26",87,49771036.3195196,41546.8774274139,54764.1495015758,41546.8774274139
"27",94,200820443.835878,201294.423623109,267839.934733251,201294.423623109
"28",96,100049715.5975,179601.158421001,221423.253552901,179601.158421001
"29",97,370963381.725236,160653.340669822,198871.577539898,160653.340669822
"30",103,36876392.6941026,16960.8193742226,75006.6108589124,16960.8193742226
"31",104,269621692.677416,6005.59315999543,55714.0168611571,6005.59315999843
"32",107,283957344.148864,15980.6368864855,55151.6336706495,15980.6368864854
"33",108,136638979.202917,1230.71149848904,74310.676972559,1230.71149848904
"34",111,116132023.689374,8119.81354785876,55018.759397226,8119.81354785876
"35",118,208973624.785256,193294.828863979,278388.051264899,193294.828863978
"36",119,156664252.376094,179438.782784264,255949.58897768,179438.782784264
"37",120,30890.9755175412,167789.306062469,233827.60367492,167789.306062469
"38",121,54178670.4586091,156720.870300074,212467.088099259,156720.870300074
"39",127,545025461.301386,49156.2745165551,78958.7761294685,49156.2745165553
"40",128,596436502.923625,24506.9896333562,58481.8065358291,24506.9896333509
"41",129,363964066.265612,251.497126446517,41140.3022827739,251.49712644687
"42",130,288750504.152543,24941.2318438788,20515.5032053179,24941.2318438788
"43",134,36015364.269092,66553.7376489501,86263.3917706668,66553.7376489499
"44",135,362002593.807245,44129.2260511234,75683.0470743488,44129.2260511234
"45",136,228400387.568672,26658.5675052538,72555.5895607513,26658.5675052538
"46",137,826676.371071497,6826.10867425947,77631.4682955308,6826.10867425947
"47",138,4319713.12316618,14060.5507690129,89498.7577246692,14060.5507690129
"48",156,313984346.361941,7702.90777474566,13815.7672622668,7702.90777474566
"49",157,602728763.643545,24946.4023077302,38163.3202124383,24946.4023077302
"50",158,403182820.866855,78953.3519298655,108015.153843398,78953.351929866
"51",159,253987056.519807,61205.8390730937,99766.9152399211,61205.8390730937
"52",160,411035.620230734,41164.4496928856,97415.207461332,41164.4496928856
"53",164,1369381.53153809,187763.6259675,328794.83360992,187763.6259675
"54",165,18381476.3957112,173874.41360451,305626.766220044,173874.41360451
"55",166,61817289.5255086,160003.161709444,282775.618592129,160003.161709444
"56",167,52664909.8802609,147942.879339683,260324.861720485,147942.879339683
"57",173,401414878.03452,87703.5105104977,122319.479509812,87703.5105104973
"58",174,63718205.0184365,82753.501369788,101843.763865016,82753.5013697888
"59",175,38940820.4233231,70394.0889012242,78577.2969661668,70394.0889012242
"60",176,225562181.2775,45643.2436326592,54370.9238613888,45643.2436326592
"61",177,227184840.916,20934.5126963844,31356.3256780148,20934.5126963871
"62",178,228417359.550514,323.339334936399,10107.3013021351,323.339334936399
"63",179,230640829.5877,628.421136324517,9488.34990062609,628.421136324517
"64",180,234030178.268961,22869.5309588639,27649.8667784222,22869.5309588639
"65",181,69371751.1772089,42117.478547564,46563.197418245,42117.4785475646
"66",186,581852949.344361,1292.15789269962,126489.338392266,1292.15789269927
"67",187,839086317.148987,22557.6077133495,115509.597731839,22557.6077133504
"68",188,866087152.927519,24918.5437469823,109260.94593581,24918.5437469823
"69",189,63451991.7432369,167071.924227906,312270.291026047,167071.924227906
"70",190,126570723.863399,153181.462858151,296748.282470422,153181.462858151
"71",191,239926182.209002,139292.90874928,273180.039147109,139292.90874928
